intervention,strength,total,direct,indirect,ratio
BP,0.0,0.5889349407062927,0.21323857366086257,0.37569636704543014,0.6379250764012546
BP,0.05,0.5889349407062927,0.2132385736608624,0.3756963670454303,0.637925076401255
BP,0.1,0.5889349407062927,0.21323857366086324,0.37569636704542947,0.6379250764012535
BP,0.15,0.5889349407062927,0.2132385736608623,0.3756963670454304,0.6379250764012551
BP,0.2,0.5889349407062927,0.21323857366086252,0.3756963670454302,0.6379250764012547
BP,0.25,0.5889349407062927,0.21323857366086252,0.3756963670454302,0.6379250764012547
BP,0.3,0.5889349407062927,0.21323857366086252,0.3756963670454302,0.6379250764012547
BP,0.35,0.5889349407062927,0.21323857366086219,0.3756963670454305,0.6379250764012553
BP,0.4,0.5889349407062927,0.21323857366086307,0.37569636704542964,0.6379250764012537
BP,0.45,0.5889349407062927,0.21323857366086169,0.375696367045431,0.6379250764012562
BP,0.5,0.5889349407062927,0.2132385736608623,0.3756963670454304,0.6379250764012551
BP,0.55,0.5889349407062927,0.21323857366086274,0.37569636704542997,0.6379250764012543
BP,0.6,0.5889349407062927,0.21323857366086219,0.3756963670454305,0.6379250764012553
BP,0.65,0.5889349407062927,0.21323857366086263,0.3756963670454301,0.6379250764012545
BP,0.7,0.5889349407062927,0.21323857366086235,0.37569636704543036,0.637925076401255
BP,0.75,0.5889349407062927,0.21323857366086263,0.3756963670454301,0.6379250764012545
BP,0.8,0.5889349407062927,0.21323857366086285,0.37569636704542986,0.6379250764012542
BP,0.85,0.5889349407062927,0.2132385736608623,0.3756963670454304,0.6379250764012551
BP,0.9,0.5889349407062927,0.21323857366086268,0.37569636704543,0.6379250764012544
BP,0.95,0.5889349407062927,0.2132385736608628,0.3756963670454299,0.6379250764012543
BP,1.0,0.5889349407062927,0.2132385736608629,0.3756963670454298,0.6379250764012541
Chelation,0.0,0.5889349407062927,0.21323857366086257,0.37569636704543014,0.6379250764012546
Chelation,0.05,0.6040358366218394,0.21870622939575746,0.3853296072260819,0.6379250764012534
Chelation,0.1,0.6199315165329397,0.2244616564851188,0.39546986004782086,0.6379250764012542
Chelation,0.15,0.6366864223851822,0.2305281877414735,0.40615823464370876,0.6379250764012545
Chelation,0.2,0.6543721563403258,0.23693174851206955,0.4174404078282562,0.6379250764012548
Chelation,0.25,0.6730685036643353,0.2437012270409863,0.42936727662334906,0.6379250764012543
Chelation,0.3,0.6928646361250503,0.2508689101892497,0.4419957259358006,0.6379250764012552
Chelation,0.35,0.7138605341894465,0.2584709983768037,0.4553895358126428,0.6379250764012542
Chelation,0.4,0.736168675882866,0.2665482170760777,0.4696204588067884,0.6379250764012554
Chelation,0.45,0.7599160525242488,0.2751465466591771,0.48476950586507167,0.6379250764012552
Chelation,0.5,0.7852465876083907,0.2843180982144832,0.5009284893939076,0.6379250764012552
Chelation,0.55,0.8123240561466113,0.2941221705667072,0.5182018855799041,0.6379250764012546
Chelation,0.6,0.8413356295804186,0.30462653380123206,0.5367090957791866,0.6379250764012551
Chelation,0.65,0.8724962084537675,0.31590899801609307,0.5565872104376745,0.6379250764012544
Chelation,0.7,0.9060537549327599,0.32805934409363624,0.5779944108391236,0.6379250764012537
Chelation,0.75,0.9422959051300697,0.3411817178573806,0.6011141872726891,0.6379250764012546
Chelation,0.8,0.981558234510489,0.35539762276810505,0.6261606117423839,0.6379250764012543
Chelation,0.85,1.0242346794892054,0.37084969332324025,0.6533849861659652,0.637925076401254
Chelation,0.9,1.0707908012841694,0.38770649756520537,0.683084303718964,0.6379250764012543
Chelation,0.95,1.1217808394405586,0.4061687117349775,0.7156121277055811,0.637925076401254
Chelation,1.0,1.1778698814125854,0.42647714732172515,0.7513927340908603,0.6379250764012546
